"","agem","quartiers","SES","famille","mold"
"1",38,80,3175,1,434
"2",41,80,3572,2,434
"3",44,80,3317,3,434
"4",46,80,4281,4,434
"5",48,80,3827,5,434
"6",34,84,2892,6,39
"7",36,84,3204,7,39
"8",40,84,4253,8,39
"9",42,84,2948,9,39
"10",43,84,3402,10,39
"11",38,92,326,11,434
"12",41,92,2211,12,434
"13",44,92,2438,13,434
"14",46,92,2353,14,434
"15",48,92,2268,15,434
"16",44,113,29,16,492
"17",48,113,392,17,492
"18",50,113,298,18,492
"19",51,113,252,19,492
"20",53,113,277,20,492
"21",35,199,3118,21,388
"22",37,199,3033,22,388
"23",38,199,2863,23,388
"24",41,199,2807,24,388
"25",43,199,3487,25,388
"26",39,200,2892,26,42
"27",40,200,3317,27,42
"28",42,200,3317,28,42
"29",44,200,2637,29,42
"30",45,200,3686,30,42
"31",39,221,326,31,42
"32",40,221,3402,32,42
"33",42,221,3714,33,42
"34",44,221,3771,34,42
"35",45,221,3487,35,42
"36",37,247,309,36,40
"37",38,247,2155,37,40
"38",39,247,3203,38,40
"39",42,247,292,39,40
"40",44,247,3317,40,40
"41",36,336,3714,41,39
"42",37,336,3374,42,39
"43",38,336,4139,43,39
"44",40,336,3884,44,39
"45",44,336,3742,45,39
"46",39,547,3969,46,452
"47",43,547,3487,47,452
"48",46,547,3289,48,452
"49",48,547,3289,49,452
"50",50,547,3232,50,452
"51",38,960,30,51,432
"52",39,960,393,52,432
"53",44,960,285,53,432
"54",46,960,43,54,432
"55",49,960,414,55,432
"56",36,2083,2693,56,40
"57",38,2083,1984,57,40
"58",39,2083,2807,58,40
"59",43,2083,2722,59,40
"60",44,2083,2126,60,40
"61",37,2166,173,61,428
"62",39,2166,263,62,428
"63",45,2166,2665,63,428
"64",46,2166,232,64,428
"65",47,2166,121,65,428
"66",37,2598,3572,66,394
"67",38,2598,3685,67,394
"68",39,2598,3827,68,394
"69",41,2598,3771,69,394
"70",42,2598,4026,70,394
"71",38,2613,2155,71,44
"72",41,2613,3289,72,44
"73",43,2613,3345,73,44
"74",48,2613,343,74,44
"75",50,2613,1984,75,44
"76",34,2735,275,76,388
"77",36,2735,292,77,388
"78",39,2735,309,78,388
"79",42,2735,3232,79,388
"80",43,2735,2892,80,388
"81",35,2822,314,81,406
"82",38,2822,264,82,406
"83",42,2822,3062,83,406
"84",43,2822,2948,84,406
"85",45,2822,2835,85,406
"86",37,2899,326,86,408
"87",38,2899,3232,87,408
"88",40,2899,3799,88,408
"89",43,2899,3487,89,408
"90",46,2899,3289,90,408
"91",41,2906,35,91,458
"92",42,2906,389,92,458
"93",46,2906,496,93,458
"94",49,2906,412,94,458
"95",51,2906,338,95,458
"96",36,2918,3997,96,406
"97",39,2918,3544,97,406
"98",41,2918,3374,98,406
"99",43,2918,3062,99,406
"100",44,2918,3289,100,406
"101",32,3431,298,101,37
"102",34,3431,27,102,37
"103",37,3431,337,103,37
"104",40,3431,30,104,37
"105",42,3431,31,105,37
"106",37,3469,2948,106,404
"107",38,3469,3147,107,404
"108",40,3469,3317,108,404
"109",43,3469,3657,109,404
"110",44,3469,3884,110,404
"111",39,3477,3203,111,43
"112",41,3477,273,112,43
"113",42,3477,275,113,43
"114",46,3477,3402,114,43
"115",47,3477,3572,115,43
"116",35,3480,2778,116,388
"117",37,3480,288,117,388
"118",39,3480,3033,118,388
"119",41,3480,3402,119,388
"120",42,3480,3487,120,388
"121",42,3526,3232,121,464
"122",45,3526,2835,122,464
"123",46,3526,258,123,464
"124",49,3526,3232,124,464
"125",50,3526,3402,125,464
"126",36,3668,2722,126,392
"127",37,3668,3175,127,392
"128",39,3668,3941,128,392
"129",41,3668,4423,129,392
"130",43,3668,3175,130,392
"131",37,3936,36,131,412
"132",39,3936,4111,132,412
"133",42,3936,2863,133,412
"134",43,3936,3374,134,412
"135",45,3936,3884,135,412
"136",40,4154,3005,136,436
"137",42,4154,2863,137,436
"138",43,4154,2608,138,436
"139",46,4154,326,139,436
"140",47,4154,309,140,436
"141",34,4411,311,141,37
"142",35,4411,247,142,37
"143",37,4411,2381,143,37
"144",38,4411,2835,144,37
"145",41,4411,2807,145,37
"146",36,4482,3119,146,394
"147",38,4482,361,147,394
"148",40,4482,397,148,394
"149",41,4482,4536,149,394
"150",42,4482,4082,150,394
"151",37,4503,2977,151,396
"152",38,4503,2381,152,396
"153",39,4503,2892,153,396
"154",41,4503,2948,154,396
"155",43,4503,3119,155,396
"156",35,4690,288,156,422
"157",41,4690,262,157,422
"158",42,4690,218,158,422
"159",43,4690,343,159,422
"160",50,4690,2863,160,422
"161",37,4708,36,161,416
"162",40,4708,3714,162,416
"163",42,4708,3742,163,416
"164",43,4708,3686,164,416
"165",46,4708,3969,165,416
"166",37,4714,92,166,406
"167",39,4714,252,167,406
"168",41,4714,214,168,406
"169",42,4714,308,169,406
"170",44,4714,306,170,406
"171",43,4845,4394,171,47
"172",45,4845,3997,172,47
"173",47,4845,4167,173,47
"174",48,4845,3629,174,47
"175",52,4845,4876,175,47
"176",36,4987,1982,176,396
"177",37,4987,275,177,396
"178",40,4987,292,178,396
"179",42,4987,30,179,396
"180",43,4987,273,180,396
"181",36,5120,2977,181,396
"182",38,5120,275,182,396
"183",39,5120,326,183,396
"184",40,5120,26,184,396
"185",45,5120,3402,185,396
"186",38,5337,269,186,408
"187",40,5337,293,187,408
"188",41,5337,319,188,408
"189",42,5337,28,189,408
"190",43,5337,3295,190,408
"191",41,5340,2835,191,448
"192",43,5340,2325,192,448
"193",45,5340,2722,193,448
"194",46,5340,2211,194,448
"195",49,5340,3062,195,448
"196",35,5435,3459,196,378
"197",36,5435,2778,197,378
"198",38,5435,309,198,378
"199",39,5435,3119,199,378
"200",41,5435,3629,200,378
"201",37,5501,4026,201,412
"202",39,5501,3912,202,412
"203",41,5501,3799,203,412
"204",44,5501,3799,204,412
"205",45,5501,4678,205,412
"206",37,5513,346,206,404
"207",38,5513,308,207,404
"208",41,5513,402,208,404
"209",42,5513,39,209,404
"210",44,5513,408,210,404
"211",36,5726,2665,211,386
"212",37,5726,2552,212,386
"213",38,5726,1985,213,386
"214",40,5726,2608,214,386
"215",42,5726,3119,215,386
"216",37,5828,3033,216,394
"217",38,5828,3232,217,394
"218",39,5828,309,218,394
"219",41,5828,35,219,394
"220",42,5828,3374,220,394
"221",41,6039,2977,221,434
"222",42,6039,3204,222,434
"223",43,6039,3232,223,434
"224",45,6039,2863,224,434
"225",46,6039,1786,225,434
"226",46,6065,3459,226,502
"227",48,6065,2948,227,502
"228",51,6065,3033,228,502
"229",52,6065,275,229,502
"230",54,6065,3175,230,502
"231",37,6123,336,231,406
"232",38,6123,29,232,406
"233",41,6123,25,233,406
"234",43,6123,274,234,406
"235",44,6123,272,235,406
"236",44,6150,4026,236,47
"237",46,6150,3175,237,47
"238",47,6150,3912,238,47
"239",48,6150,3771,239,47
"240",50,6150,3317,240,47
"241",37,6610,3119,241,406
"242",39,6610,3374,242,406
"243",41,6610,3771,243,406
"244",42,6610,3515,244,406
"245",44,6610,3175,245,406
"246",38,6711,3119,246,424
"247",41,6711,3827,247,424
"248",43,6711,2835,248,424
"249",44,6711,3374,249,424
"250",46,6711,3402,250,424
"251",34,6847,2948,251,372
"252",36,6847,2608,252,372
"253",38,6847,2353,253,372
"254",38,6847,964,254,372
"255",40,6847,2835,255,372
"256",34,6960,16,256,374
"257",36,6960,39,257,374
"258",37,6960,39,258,374
"259",39,6960,39,259,374
"260",41,6960,305,260,374
"261",40,7209,29,261,428
"262",41,7209,311,262,428
"263",43,7209,3289,263,428
"264",44,7209,3487,264,428
"265",46,7209,32,265,428
"266",36,7413,319,266,39
"267",38,7413,311,267,39
"268",39,7413,215,268,39
"269",40,7413,269,269,39
"270",42,7413,375,270,39
"271",37,7556,3345,271,40
"272",39,7556,366,272,40
"273",40,7556,3629,273,40
"274",41,7556,3175,274,40
"275",43,7556,2835,275,40
"276",36,7782,348,276,386
"277",37,7782,306,277,386
"278",39,7782,25,278,386
"279",40,7782,276,279,386
"280",41,7782,395,280,386
"281",35,7866,2523,281,382
"282",36,7866,3289,282,382
"283",38,7866,3062,283,382
"284",40,7866,3515,284,382
"285",42,7866,2863,285,382
"286",39,7932,3402,286,418
"287",40,7932,2637,287,418
"288",41,7932,2637,288,418
"289",44,7932,3856,289,418
"290",45,7932,4508,290,418
"291",35,8086,3771,291,378
"292",36,8086,2495,292,378
"293",38,8086,3657,293,378
"294",39,8086,3544,294,378
"295",41,8086,3487,295,378
"296",34,8231,327,296,362
"297",35,8231,2948,297,362
"298",36,8231,171,298,362
"299",37,8231,2807,299,362
"300",39,8231,267,300,362
"301",37,8281,2608,301,396
"302",38,8281,3062,302,396
"303",39,8281,2268,303,396
"304",41,8281,2665,304,396
"305",43,8281,2977,305,396
"306",35,8429,313,306,372
"307",36,8429,3232,307,372
"308",37,8429,3572,308,372
"309",38,8429,4167,309,372
"310",40,8429,3005,310,372
"311",38,8485,3204,311,408
"312",40,8485,2466,312,408
"313",41,8485,3345,313,408
"314",42,8485,3742,314,408
"315",43,8485,3629,315,408
"316",34,8544,3402,316,372
"317",36,8544,2665,317,372
"318",38,8544,258,318,372
"319",39,8544,1134,319,372
"320",39,8544,2835,320,372
"321",37,8677,3005,321,396
"322",38,8677,1588,322,396
"323",40,8677,3374,323,396
"324",41,8677,318,324,396
"325",42,8677,28,325,396
"326",34,8734,2126,326,364
"327",35,8734,2835,327,364
"328",36,8734,2835,328,364
"329",38,8734,3062,329,364
"330",39,8734,3685,330,364
"331",36,8792,294,331,38
"332",37,8792,3487,332,38
"333",38,8792,287,333,38
"334",39,8792,301,334,38
"335",40,8792,2296,335,38
"336",37,8918,3033,336,404
"337",39,8918,2948,337,404
"338",40,8918,2835,338,404
"339",42,8918,3289,339,404
"340",44,8918,275,340,404
"341",36,9288,366,341,392
"342",38,9288,327,342,392
"343",39,9288,32,343,392
"344",41,9288,346,344,392
"345",42,9288,329,345,392
"346",44,11704,2948,346,494
"347",46,11704,3232,347,494
"348",50,11704,34,348,494
"349",51,11704,2637,349,494
"350",56,11704,2892,350,494
"351",38,12115,3345,351,434
"352",39,12115,3203,352,434
"353",44,12115,3771,353,434
"354",46,12115,3771,354,434
"355",50,12115,4054,355,434
"356",33,12655,2637,356,39
"357",37,12655,2835,357,39
"358",40,12655,258,358,39
"359",42,12655,3147,359,39
"360",43,12655,2466,360,39
"361",37,13156,1845,361,42
"362",40,13156,286,362,42
"363",42,13156,138,363,42
"364",44,13156,2693,364,42
"365",47,13156,2013,365,42
"366",36,13500,2863,366,392
"367",38,13500,3289,367,392
"368",39,13500,309,368,392
"369",41,13500,2948,369,392
"370",42,13500,3289,370,392
"371",36,14020,3374,371,396
"372",38,14020,343,372,396
"373",40,14020,3033,373,396
"374",41,14020,2552,374,396
"375",43,14020,3402,375,396
"376",52,14297,3118,376,552
"377",53,14297,3572,377,552
"378",55,14297,3062,378,552
"379",57,14297,2835,379,552
"380",59,14297,3459,380,552
"381",34,14792,2693,381,376
"382",36,14792,2013,382,376
"383",37,14792,224,383,376
