ID,violent,years,arrest
15,0,0,0
15,0,1,4
15,0,2,5
27,1,0,0
27,1,1,2
27,1,2,0
28,0,0,0
28,0,1,1
28,0,2,0
29,0,0,8
29,0,1,1
29,0,2,4
56,0,0,0
56,0,1,2
56,0,2,2
64,0,0,3
64,0,1,3
64,0,2,0
74,0,0,0
74,0,1,0
74,0,2,0
92,0,0,0
92,0,1,1
92,0,2,0
97,1,0,0
97,1,1,0
97,1,2,0
99,0,0,0
99,0,1,0
99,0,2,0
100,0,0,1
100,0,1,0
100,0,2,0
102,0,0,0
102,0,1,0
102,0,2,0
108,1,0,0
108,1,1,0
108,1,2,0
116,1,0,0
116,1,1,0
116,1,2,0
117,0,0,0
117,0,1,0
117,0,2,0
125,0,0,3
125,0,1,2
125,0,2,1
128,0,0,0
128,0,1,0
128,0,2,0
141,0,0,0
141,0,1,0
141,0,2,1
142,1,0,0
142,1,1,1
142,1,2,0
143,0,0,0
143,0,1,0
143,0,2,0
148,0,0,1
148,0,1,1
148,0,2,0
155,1,0,0
155,1,1,4
155,1,2,1
156,0,0,0
156,0,1,0
156,0,2,0
158,0,0,0
158,0,1,0
158,0,2,0
161,1,0,0
161,1,1,0
161,1,2,0
162,0,0,5
162,0,1,0
162,0,2,0
171,0,0,0
171,0,1,0
171,0,2,1
186,1,0,0
186,1,1,0
186,1,2,0
190,0,0,0
190,0,1,0
190,0,2,0
192,0,0,0
192,0,1,0
192,0,2,0
197,0,0,0
197,0,1,2
197,0,2,0
208,1,0,0
208,1,1,0
208,1,2,1
242,1,0,0
242,1,1,2
242,1,2,4
255,1,0,0
255,1,1,0
255,1,2,0
257,1,0,11
257,1,1,9
257,1,2,8
261,0,0,2
261,0,1,0
261,0,2,0
282,0,0,0
282,0,1,0
282,0,2,0
292,0,0,0
292,0,1,0
292,0,2,0
298,1,0,9
298,1,1,6
298,1,2,0
313,0,0,0
313,0,1,0
313,0,2,1
315,1,0,0
315,1,1,0
315,1,2,0
327,0,0,0
327,0,1,0
327,0,2,0
334,0,0,2
334,0,1,2
334,0,2,2
338,0,0,0
338,0,1,0
338,0,2,0
339,0,0,0
339,0,1,1
339,0,2,1
360,0,0,0
360,0,1,0
360,0,2,0
363,0,0,0
363,0,1,0
363,0,2,0
378,0,0,2
378,0,1,0
378,0,2,0
388,0,0,0
388,0,1,0
388,0,2,0
389,0,0,0
389,0,1,0
389,0,2,1
395,0,0,0
395,0,1,0
395,0,2,0
405,1,0,0
405,1,1,3
405,1,2,0
412,0,0,1
412,0,1,5
412,0,2,0
413,0,0,1
413,0,1,3
413,0,2,0
450,1,0,0
450,1,1,0
450,1,2,0
467,0,0,1
467,0,1,0
467,0,2,0
473,0,0,0
473,0,1,0
473,0,2,0
483,1,0,2
483,1,1,6
483,1,2,0
495,0,0,0
495,0,1,0
495,0,2,0
498,0,0,0
498,0,1,0
498,0,2,0
506,0,0,0
506,0,1,1
506,0,2,0
507,0,0,2
507,0,1,7
507,0,2,2
523,1,0,0
523,1,1,0
523,1,2,0
556,0,0,1
556,0,1,7
556,0,2,1
557,0,0,3
557,0,1,3
557,0,2,1
558,1,0,0
558,1,1,0
558,1,2,0
559,1,0,0
559,1,1,0
559,1,2,0
560,0,0,0
560,0,1,0
560,0,2,0
584,0,0,0
584,0,1,0
584,0,2,0
586,1,0,0
586,1,1,3
586,1,2,0
587,0,0,1
587,0,1,4
587,0,2,0
589,0,0,0
589,0,1,0
589,0,2,0
599,1,0,1
599,1,1,1
599,1,2,0
611,0,0,0
611,0,1,3
611,0,2,3
616,0,0,0
616,0,1,0
616,0,2,0
617,1,0,4
617,1,1,0
617,1,2,0
620,0,0,0
620,0,1,1
620,0,2,0
628,0,0,0
628,0,1,0
628,0,2,0
635,1,0,0
635,1,1,0
635,1,2,0
639,1,0,2
639,1,1,3
639,1,2,2
640,1,0,0
640,1,1,1
640,1,2,2
641,0,0,0
641,0,1,0
641,0,2,0
642,0,0,0
642,0,1,0
642,0,2,0
647,0,0,0
647,0,1,1
647,0,2,2
652,0,0,1
652,0,1,2
652,0,2,2
657,0,0,0
657,0,1,0
657,0,2,0
664,0,0,4
664,0,1,2
664,0,2,0
676,1,0,0
676,1,1,0
676,1,2,1
692,1,0,0
692,1,1,0
692,1,2,0
695,0,0,0
695,0,1,0
695,0,2,0
696,0,0,0
696,0,1,2
696,0,2,1
700,0,0,3
700,0,1,1
700,0,2,4
710,1,0,2
710,1,1,1
710,1,2,1
724,0,0,8
724,0,1,2
724,0,2,3
737,1,0,0
737,1,1,0
737,1,2,1
769,0,0,0
769,0,1,0
769,0,2,0
781,0,0,4
781,0,1,0
781,0,2,0
783,0,0,0
783,0,1,2
783,0,2,0
802,1,0,6
802,1,1,0
802,1,2,0
803,1,0,0
803,1,1,1
803,1,2,0
804,0,0,3
804,0,1,4
804,0,2,0
811,0,0,0
811,0,1,4
811,0,2,0
819,1,0,2
819,1,1,0
819,1,2,1
833,0,0,0
833,0,1,0
833,0,2,0
834,1,0,2
834,1,1,1
834,1,2,2
850,1,0,0
850,1,1,0
850,1,2,0
858,0,0,0
858,0,1,0
858,0,2,0
860,0,0,1
860,0,1,2
860,0,2,0
863,0,0,0
863,0,1,2
863,0,2,0
867,0,0,0
