"","ID","TOL11","TOL12","TOL13","TOL14","TOL15","MALE","EXPOSURE"
"1",9,223,179,19,212,266,0,"1,54"
"2",45,112,145,145,145,199,1,"1,16"
"3",268,145,134,199,179,134,1,",9"
"4",314,122,122,155,112,112,0,",81"
"5",442,145,199,145,167,19,0,"1,13"
"6",514,134,167,223,212,244,1,",9"
"7",569,179,19,19,199,199,0,"1,99"
"8",624,112,112,122,112,122,1,",98"
"9",723,122,134,112,1,112,0,",81"
"10",918,1,1,122,199,122,0,"1,21"
"11",949,199,155,112,145,155,1,",93"
"12",978,122,134,212,346,332,1,"1,59"
"13",1105,134,19,199,19,212,1,"1,38"
"14",1542,122,122,199,179,212,0,"1,44"
"15",1552,1,112,223,155,155,0,"1,04"
"16",1653,111,111,134,155,212,0,"1,25"
