"","ID","AGE","COA","MALE","AGE_14","ALCUSE","PEER","CPEER","CCOA"
"1",1,14,1,0,0,173205077648163,"1,26491105556488",",24691105556488",",549"
"2",1,15,1,0,1,2,"1,26491105556488",",24691105556488",",549"
"3",1,16,1,0,2,2,"1,26491105556488",",24691105556488",",549"
"4",2,14,1,1,0,0,",894427180290222","-,123572819709778",",549"
"5",2,15,1,1,1,0,",894427180290222","-,123572819709778",",549"
"6",2,16,1,1,2,1,",894427180290222","-,123572819709778",",549"
"7",3,14,1,1,0,1,",894427180290222","-,123572819709778",",549"
"8",3,15,1,1,1,2,",894427180290222","-,123572819709778",",549"
"9",3,16,1,1,2,331662487983704,",894427180290222","-,123572819709778",",549"
"10",4,14,1,1,0,0,"1,78885436058044",",770854360580444",",549"
"11",4,15,1,1,1,2,"1,78885436058044",",770854360580444",",549"
"12",4,16,1,1,2,173205077648163,"1,78885436058044",",770854360580444",",549"
"13",5,14,1,0,0,0,",894427180290222","-,123572819709778",",549"
"14",5,15,1,0,1,0,",894427180290222","-,123572819709778",",549"
"15",5,16,1,0,2,0,",894427180290222","-,123572819709778",",549"
"16",6,14,1,1,0,3,"1,54919338226318",",531193382263184",",549"
"17",6,15,1,1,1,3,"1,54919338226318",",531193382263184",",549"
"18",6,16,1,1,2,316227769851685,"1,54919338226318",",531193382263184",",549"
"19",7,14,1,0,0,173205077648163,"1,54919338226318",",531193382263184",",549"
"20",7,15,1,0,1,244948983192444,"1,54919338226318",",531193382263184",",549"
"21",7,16,1,0,2,1,"1,54919338226318",",531193382263184",",549"
"22",8,14,1,1,0,0,"0","-1,018",",549"
"23",8,15,1,1,1,0,"0","-1,018",",549"
"24",8,16,1,1,2,0,"0","-1,018",",549"
"25",9,14,1,1,0,0,"0","-1,018",",549"
"26",9,15,1,1,1,1,"0","-1,018",",549"
"27",9,16,1,1,2,346410155296326,"0","-1,018",",549"
"28",10,14,1,0,0,1,"2",",982",",549"
"29",10,15,1,0,1,1,"2",",982",",549"
"30",10,16,1,0,2,1,"2",",982",",549"
"31",11,14,1,1,0,0,"0","-1,018",",549"
"32",11,15,1,1,1,0,"0","-1,018",",549"
"33",11,16,1,1,2,316227769851685,"0","-1,018",",549"
"34",12,14,1,1,0,1,"1,26491105556488",",24691105556488",",549"
"35",12,15,1,1,1,0,"1,26491105556488",",24691105556488",",549"
"36",12,16,1,1,2,173205077648163,"1,26491105556488",",24691105556488",",549"
"37",13,14,1,1,0,0,"0","-1,018",",549"
"38",13,15,1,1,1,0,"0","-1,018",",549"
"39",13,16,1,1,2,2,"0","-1,018",",549"
"40",14,14,1,0,0,282842707633972,"2",",982",",549"
"41",14,15,1,0,1,360555124282837,"2",",982",",549"
"42",14,16,1,0,2,282842707633972,"2",",982",",549"
"43",15,14,1,0,0,173205077648163,"2",",982",",549"
"44",15,15,1,0,1,22360680103302,"2",",982",",549"
"45",15,16,1,0,2,244948983192444,"2",",982",",549"
"46",16,14,1,0,0,1,"1,26491105556488",",24691105556488",",549"
"47",16,15,1,0,1,141421353816986,"1,26491105556488",",24691105556488",",549"
"48",16,16,1,0,2,141421353816986,"1,26491105556488",",24691105556488",",549"
"49",17,14,1,0,0,0,",894427180290222","-,123572819709778",",549"
"50",17,15,1,0,1,1,",894427180290222","-,123572819709778",",549"
"51",17,16,1,0,2,0,",894427180290222","-,123572819709778",",549"
"52",18,14,1,1,0,2,"1,78885436058044",",770854360580444",",549"
"53",18,15,1,1,1,173205077648163,"1,78885436058044",",770854360580444",",549"
"54",18,16,1,1,2,1,"1,78885436058044",",770854360580444",",549"
"55",19,14,1,0,0,0,"0","-1,018",",549"
"56",19,15,1,0,1,0,"0","-1,018",",549"
"57",19,16,1,0,2,0,"0","-1,018",",549"
"58",20,14,1,0,0,331662487983704,"2,52982211112976","1,51182211112976",",549"
"59",20,15,1,0,1,360555124282837,"2,52982211112976","1,51182211112976",",549"
"60",20,16,1,0,2,1,"2,52982211112976","1,51182211112976",",549"
"61",21,14,1,1,0,1,"1,78885436058044",",770854360580444",",549"
"62",21,15,1,1,1,173205077648163,"1,78885436058044",",770854360580444",",549"
"63",21,16,1,1,2,173205077648163,"1,78885436058044",",770854360580444",",549"
"64",22,14,1,1,0,282842707633972,"2",",982",",549"
"65",22,15,1,1,1,282842707633972,"2",",982",",549"
"66",22,16,1,1,2,1,"2",",982",",549"
"67",23,14,1,1,0,1,"0","-1,018",",549"
"68",23,15,1,1,1,1,"0","-1,018",",549"
"69",23,16,1,1,2,173205077648163,"0","-1,018",",549"
"70",24,14,1,0,0,0,"0","-1,018",",549"
"71",24,15,1,0,1,1,"0","-1,018",",549"
"72",24,16,1,0,2,0,"0","-1,018",",549"
"73",25,14,1,1,0,3,"2,19089031219482","1,17289031219482",",549"
"74",25,15,1,1,1,1,"2,19089031219482","1,17289031219482",",549"
"75",25,16,1,1,2,264575123786926,"2,19089031219482","1,17289031219482",",549"
"76",26,14,1,0,0,0,"1,54919338226318",",531193382263184",",549"
"77",26,15,1,0,1,1,"1,54919338226318",",531193382263184",",549"
"78",26,16,1,0,2,141421353816986,"1,54919338226318",",531193382263184",",549"
"79",27,14,1,0,0,3,"1,78885436058044",",770854360580444",",549"
"80",27,15,1,0,1,0,"1,78885436058044",",770854360580444",",549"
"81",27,16,1,0,2,173205077648163,"1,78885436058044",",770854360580444",",549"
"82",28,14,1,0,0,0,",894427180290222","-,123572819709778",",549"
"83",28,15,1,0,1,0,",894427180290222","-,123572819709778",",549"
"84",28,16,1,0,2,0,",894427180290222","-,123572819709778",",549"
"85",29,14,1,1,0,0,",894427180290222","-,123572819709778",",549"
"86",29,15,1,1,1,0,",894427180290222","-,123572819709778",",549"
"87",29,16,1,1,2,1,",894427180290222","-,123572819709778",",549"
"88",30,14,1,0,0,1,"1,26491105556488",",24691105556488",",549"
"89",30,15,1,0,1,2,"1,26491105556488",",24691105556488",",549"
"90",30,16,1,0,2,173205077648163,"1,26491105556488",",24691105556488",",549"
"91",31,14,1,1,0,173205077648163,"1,78885436058044",",770854360580444",",549"
"92",31,15,1,1,1,346410155296326,"1,78885436058044",",770854360580444",",549"
"93",31,16,1,1,2,282842707633972,"1,78885436058044",",770854360580444",",549"
"94",32,14,1,1,0,173205077648163,"0","-1,018",",549"
"95",32,15,1,1,1,141421353816986,"0","-1,018",",549"
"96",32,16,1,1,2,1,"0","-1,018",",549"
"97",33,14,1,0,0,0,",894427180290222","-,123572819709778",",549"
"98",33,15,1,0,1,1,",894427180290222","-,123572819709778",",549"
"99",33,16,1,0,2,141421353816986,",894427180290222","-,123572819709778",",549"
"100",34,14,1,1,0,0,"0","-1,018",",549"
"101",34,15,1,1,1,1,"0","-1,018",",549"
"102",34,16,1,1,2,1,"0","-1,018",",549"
"103",35,14,1,0,0,1,"1,54919338226318",",531193382263184",",549"
"104",35,15,1,0,1,1,"1,54919338226318",",531193382263184",",549"
"105",35,16,1,0,2,0,"1,54919338226318",",531193382263184",",549"
"106",36,14,1,1,0,1,"1,26491105556488",",24691105556488",",549"
"107",36,15,1,1,1,1,"1,26491105556488",",24691105556488",",549"
"108",36,16,1,1,2,2,"1,26491105556488",",24691105556488",",549"
"109",37,14,1,1,0,1,"2",",982",",549"
"110",37,15,1,1,1,282842707633972,"2",",982",",549"
"111",37,16,1,1,2,316227769851685,"2",",982",",549"
"112",38,14,0,0,0,0,"1,26491105556488",",24691105556488","-,451"
"113",38,15,0,0,1,173205077648163,"1,26491105556488",",24691105556488","-,451"
"114",38,16,0,0,2,2,"1,26491105556488",",24691105556488","-,451"
"115",39,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
