"","RESEAU","ADVERS","DEPRES","fille"
"1",55,40,46,1
"2",43,45,79,1
"3",57,52,33,0
"4",26,62,63,1
"5",22,31,20,0
"6",32,28,18,0
"7",26,0,11,0
"8",29,83,97,1
"9",40,55,63,1
"10",30,32,46,0
"11",34,47,21,0
"12",44,45,71,1
"13",49,60,59,1
"14",22,13,44,1
"15",34,7,30,0
"16",47,85,80,1
"17",48,38,45,0
"18",48,61,26,0
"19",22,26,33,1
"20",24,3,7,0
"21",50,29,50,0
"22",49,60,54,0
"23",49,47,73,1
"24",48,18,19,0
"25",29,16,36,0
"26",58,36,31,0
"27",24,24,71,1
"28",21,12,15,0
"29",29,32,40,1
"30",45,46,61,1
"31",28,26,45,1
"32",37,40,42,0
"33",44,46,57,1
"34",22,44,34,0
"35",38,3,26,0
"36",24,25,47,0
"37",34,43,42,1
"38",26,41,44,1
"39",26,42,59,1
"40",25,36,27,1
