ID,EXPER,LNW,BLACK,HGC,UERATE
31,0.015,1.491,0,8,3.215
31,0.715,1.433,0,8,3.215
31,1.734,1.469,0,8,3.215
31,2.773,1.749,0,8,3.295
31,3.927,1.931,0,8,2.895
31,4.946,1.709,0,8,2.495
31,5.965,2.086,0,8,2.595
31,6.984,2.129,0,8,4.795
36,0.315,1.982,0,9,4.895
36,0.983,1.798,0,9,7.4
36,2.04,2.256,0,9,7.4
36,3.021,2.573,0,9,5.295
36,4.021,1.819,0,9,4.495
36,5.521,2.928,0,9,2.895
36,6.733,2.443,0,9,2.595
36,7.906,2.825,0,9,2.595
36,8.848,2.303,0,9,5.795
36,9.598,2.329,0,9,7.6
53,0.781,1.763,0,7,5.595
53,0.943,1.538,0,7,6.695
53,0.957,3.242,0,7,4.895
53,1.037,1.596,0,7,4.995
53,1.057,1.566,0,7,3.795
53,1.11,1.882,0,7,3.495
53,1.185,1.89,0,7,2.795
53,1.777,1.66,0,7,3.195
122,2.038,2.115,0,12,8.4
122,2.638,2.921,0,12,8.1
122,3.658,1.919,0,12,6.395
122,4.638,0.763,0,12,4.995
122,5.831,2.443,0,12,4.095
122,6.715,2.18,0,12,3.595
122,8.158,2.138,0,12,2.795
122,9.1,2.199,0,12,3.195
122,10.35,2.337,0,12,5.195
122,11.081,2.668,0,12,6.195
134,0.192,2.004,0,11,5.795
134,0.972,2.099,0,11,5.495
134,1.934,2.323,0,11,6.095
134,2.953,2.387,0,11,8.4
134,3.915,2.263,0,11,8.1
134,4.635,2.326,0,11,6.395
134,5.635,2.298,0,11,5.895
134,6.75,2.666,0,11,5.095
134,8.25,2.806,0,11,2.795
134,9.019,2.927,0,11,3.195
134,10.038,2.931,0,11,5.195
134,10.818,2.764,0,11,6.195
145,0.235,1.562,0,10,8.4
145,0.828,1.476,0,10,6.395
145,1.828,1.596,0,10,5.895
145,2.488,1.885,0,10,5.095
145,3.699,2.036,0,10,3.595
145,4.776,1.771,0,10,2.795
145,5.641,1.878,0,10,3.195
145,6.68,1.753,0,10,5.195
145,7.1,1.906,0,10,6.195
155,0.985,1.776,0,9,6.695
155,2.023,2.078,0,9,6.695
