FAMID,NEIGHID,ATTAIN,DEPRIVE
1,26,1.52,0.53
2,26,-1.33,0.53
3,26,0.56,0.53
4,26,1.52,0.53
5,26,-1.33,0.53
6,27,-0.13,1.23
7,29,0.03,1
8,29,0.56,1
9,29,0.16,1
10,29,-0.36,1
11,29,-1.33,1
12,29,-1.33,1
13,29,0.74,1
14,29,0.16,1
15,29,-1.33,1
16,30,1.52,0.81
17,30,-0.13,0.81
18,31,2.42,1.09
19,31,-1.33,1.09
20,32,0.03,0.89
21,32,0.26,0.89
22,32,-0.36,0.89
23,32,0.74,0.89
24,32,0.03,0.89
25,32,-0.36,0.89
26,33,-0.36,1.62
27,33,-1.33,1.62
28,33,-1.33,1.62
29,33,-0.36,1.62
30,35,-1.33,1.4
31,35,-1.33,1.4
32,35,-1.33,1.4
33,36,0.26,1.3
34,36,0.74,1.3
35,37,-1.33,1.85
36,38,-1.33,0.73
37,38,-1.33,0.73
38,38,0.74,0.73
39,38,-0.36,0.73
40,38,-0.13,0.73
41,39,-0.36,1.1
42,39,-0.13,1.1
43,39,-1.33,1.1
44,40,-1.33,1.39
45,40,0.56,1.39
46,40,-1.33,1.39
47,40,0.03,1.39
48,41,-1.33,1.31
49,47,-0.13,1.28
50,47,-1.33,1.28
51,47,-1.33,1.28
52,47,-0.13,1.28
53,47,0.26,1.28
54,47,-1.33,1.28
55,47,-0.36,1.28
56,47,-0.36,1.28
57,48,0.03,0.73
58,48,-1.33,0.73
59,48,-0.13,0.73
60,48,-1.33,0.73
61,48,-1.33,0.73
62,49,0.26,1.73
63,49,0.39,1.73
64,49,0.03,1.73
65,49,-1.33,1.73
66,49,0.03,1.73
67,49,-1.33,1.73
68,50,-1.33,2.34
69,50,-1.33,2.34
70,50,-1.33,2.34
71,50,-1.33,2.34
72,50,-1.33,2.34
73,50,-1.33,2.34
74,51,-1.33,2.3
75,51,-1.33,2.3
76,51,0.91,2.3
77,51,-1.33,2.3
78,51,-0.36,2.3
79,51,-1.33,2.3
80,52,-1.33,1.28
81,52,1.14,1.28
82,52,0.74,1.28
